id,type,name,title,width,height,commonsUrl,originalUrl,thumbUrl,license,licenseUrl,artist,date,source
"1","항공뷰","Lotte world tower (censored)","File:Lotte world tower (censored).jpg","2995","1924","https://commons.wikimedia.org/wiki/File%3ALotte_world_tower_(censored).jpg","https://upload.wikimedia.org/wikipedia/commons/d/df/Lotte_world_tower_%28censored%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Lotte_world_tower_%28censored%29.jpg/960px-Lotte_world_tower_%28censored%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Neroson (original)","2016-09-19 15:22:29","search: Lotte World Tower view Seoul filetype:bitmap"
"2","항공뷰","Helicopter view of Seoul","File:Helicopter view of Seoul.jpg","4113","2256","https://commons.wikimedia.org/wiki/File%3AHelicopter_view_of_Seoul.jpg","https://upload.wikimedia.org/wikipedia/commons/0/00/Helicopter_view_of_Seoul.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Helicopter_view_of_Seoul.jpg/960px-Helicopter_view_of_Seoul.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Neroson","Taken on 19 September 2016 15:22:29","Category:Skylines in Seoul"
"3","항공뷰","Seoul Cityscape From the Sky Park (6907573433)","File:Seoul Cityscape From the Sky Park (6907573433).jpg","1000","667","https://commons.wikimedia.org/wiki/File%3ASeoul_Cityscape_From_the_Sky_Park_(6907573433).jpg","https://upload.wikimedia.org/wikipedia/commons/a/aa/Seoul_Cityscape_From_the_Sky_Park_%286907573433%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Seoul_Cityscape_From_the_Sky_Park_%286907573433%29.jpg/960px-Seoul_Cityscape_From_the_Sky_Park_%286907573433%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0","Jimmy McIntyre - Editor HDR One Magazine","2012-02-18 12:27","Category:Skylines in Seoul"
"4","항공뷰","서울, 한강, 여의도-1969년","File:서울, 한강, 여의도-1969년.jpg","3090","2048","https://commons.wikimedia.org/wiki/File%3A%EC%84%9C%EC%9A%B8%2C_%ED%95%9C%EA%B0%95%2C_%EC%97%AC%EC%9D%98%EB%8F%84-1969%EB%85%84.jpg","https://upload.wikimedia.org/wikipedia/commons/4/44/%EC%84%9C%EC%9A%B8%2C_%ED%95%9C%EA%B0%95%2C_%EC%97%AC%EC%9D%98%EB%8F%84-1969%EB%85%84.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/%EC%84%9C%EC%9A%B8%2C_%ED%95%9C%EA%B0%95%2C_%EC%97%AC%EC%9D%98%EB%8F%84-1969%EB%85%84.jpg/960px-%EC%84%9C%EC%9A%B8%2C_%ED%95%9C%EA%B0%95%2C_%EC%97%AC%EC%9D%98%EB%8F%84-1969%EB%85%84.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","Public domain","","경기도청","2013-04-09 19:11:13","Category:Yeouido"
"5","위성/지도","Seoul, South Korea (50732566993)","File:Seoul, South Korea (50732566993).png","8554","5262","https://commons.wikimedia.org/wiki/File%3ASeoul%2C_South_Korea_(50732566993).png","https://upload.wikimedia.org/wikipedia/commons/8/86/Seoul%2C_South_Korea_%2850732566993%29.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Seoul%2C_South_Korea_%2850732566993%29.png/960px-Seoul%2C_South_Korea_%2850732566993%29.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY 2.0","https://creativecommons.org/licenses/by/2.0","Sentinel Hub","Taken on 18 December 2020, 07:27","search: Seoul satellite map filetype:bitmap"
"6","항공뷰","South Korea, aerial view of Seoul","File:South Korea, aerial view of Seoul.jpg","5049","3088","https://commons.wikimedia.org/wiki/File%3ASouth_Korea%2C_aerial_view_of_Seoul.jpg","https://upload.wikimedia.org/wikipedia/commons/b/b7/South_Korea%2C_aerial_view_of_Seoul.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/South_Korea%2C_aerial_view_of_Seoul.jpg/960px-South_Korea%2C_aerial_view_of_Seoul.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","Public domain","","George Clayton Foulk","circa 1884 date QS:P,+1884-00-00T00:00:00Z/9,P1480,Q5727902","search: Seoul aerial view filetype:bitmap"
"7","항공뷰","Aerial view of Seoul 2","File:Aerial view of Seoul 2.jpg","4320","2432","https://commons.wikimedia.org/wiki/File%3AAerial_view_of_Seoul_2.jpg","https://upload.wikimedia.org/wikipedia/commons/7/7a/Aerial_view_of_Seoul_2.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Aerial_view_of_Seoul_2.jpg/960px-Aerial_view_of_Seoul_2.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC0","http://creativecommons.org/publicdomain/zero/1.0/deed.en","Brücke-Osteuropa","2011-10-02","Category:Cityscapes of Seoul"
"8","항공뷰","Aerial view of Seoul 1","File:Aerial view of Seoul 1.jpg","3138","1402","https://commons.wikimedia.org/wiki/File%3AAerial_view_of_Seoul_1.jpg","https://upload.wikimedia.org/wikipedia/commons/c/c6/Aerial_view_of_Seoul_1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Aerial_view_of_Seoul_1.jpg/960px-Aerial_view_of_Seoul_1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC0","http://creativecommons.org/publicdomain/zero/1.0/deed.en","Brücke-Osteuropa","2011-10-02","Category:Aerial photographs of Seoul"
"9","항공뷰","Han River aerial view","File:Han River aerial view.jpg","1110","832","https://commons.wikimedia.org/wiki/File%3AHan_River_aerial_view.jpg","https://upload.wikimedia.org/wikipedia/commons/7/7f/Han_River_aerial_view.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Han_River_aerial_view.jpg/960px-Han_River_aerial_view.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Brit in Seoul","2018-11-24","search: Seoul aerial view filetype:bitmap"
"10","항공뷰","Olympic Bridge 올림픽대교","File:Olympic Bridge 올림픽대교.jpg","1000","750","https://commons.wikimedia.org/wiki/File%3AOlympic_Bridge_%EC%98%AC%EB%A6%BC%ED%94%BD%EB%8C%80%EA%B5%90.jpg","https://upload.wikimedia.org/wikipedia/commons/9/90/Olympic_Bridge_%EC%98%AC%EB%A6%BC%ED%94%BD%EB%8C%80%EA%B5%90.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Olympic_Bridge_%EC%98%AC%EB%A6%BC%ED%94%BD%EB%8C%80%EA%B5%90.jpg/960px-Olympic_Bridge_%EC%98%AC%EB%A6%BC%ED%94%BD%EB%8C%80%EA%B5%90.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","Public domain","","Rachel from Los Angeles, California, USA","2008-11-06 16:43","search: Han River Seoul panorama filetype:bitmap"
